Oxford,http://en.wikipedia.org/wiki/University_of_oxford,University of Oxford,,United Kingdom,Oxfordshire,Oxford,51.75,-1.26,,university
Presidency College,,Presidency College,,India,Tamil Nadu,Chennai,13.059193,80.281387,"Presidency College is considered the premiere institution of Calcutta, and was the perhaps the most prestigious center for education throughout British India in the nineteenth century.",college/university
Scottish Church College,http://www.scottishchurch.ac.in/,Scottish Church College,,India,West Bengal,Kolkata,22.58,88.37,"Founded in 1830, this college was among of the most prestigious in Calcutta.",university
Kolkata,http://en.wikipedia.org/wiki/Kolkata,Kolkata,Calcutta,India,West Bengal,Kolkata,22.57,88.36,,city/town
England,,England,,United Kingdom,England,-9999,53,2,,country
Coffee House,http://en.wikipedia.org/wiki/Indian_Coffee_House#Coffee_House_at_College_Street#Kolkata,Coffee House,,India,West Bengal,Kolkata,22.52,88.34,"The coffee house in Calcutta was in 1942.  A untraditional and ̢??modern̢?? drink in Calcutta̢??s tea-drinking society, it gradually became a meeting place of people from the world of arts and culture. This was a meeting ground or adda for intellectuals, who penned poetry and other literary work.",business
University of Calcutta,,University of Calcutta,,India,West Bengal,Kolkata,22.57,88.36,,university
University of Cambridge,,University of Cambridge,,United Kingdom,Gloucestershire,Cambridge,52.2,0.11,"This refers to a loose tradition of scholarship, associated with the University of Cambridge.  Representatives of this ""school"" have shed light on the social, political, economic and cultural continuities that stretched across the apparent caesura of British colonial arrival in South Asia in 1757.",university
India,,India,,India,-9999,-9999,20,77,,country
Central Asia,,Central Asia,,-9999,-9999,-9999,46,66,,region
Pakistan,,Pakistan,,Pakistan,-9999,-9999,30,70,,country
Bengal,,-9999,Bengal,-9999,-9999,-9999,24,90,,region
Haora,,Haora,,India,West Bengal,Haora,22.58,88.3,,city/town
Narasinha Dutt College,,Narasinha Dutt College,,India,West Bengal,Haora,22.59,88.32,,university
Punjab,,Punjab,,India,Punjab,-9999,30.5,75.5,,state
Bihar,,Bihar,,India,Bihar,-9999,25.75,85.75,,state
Noakhali,,Noakhali,,Bengladesh,Noakhali,-9999,22.8,91,,state
Balliol College,,Balliol College,,United Kingdom,Oxfordshire,Oxford,51.75,-1.25,,college/university
Ruskin College,,Ruskin College,,United Kingdom,Oxfordshire,Oxford,51.75,-1.26,"Ruskin College in Oxford, England",college/university
London,,London,,United Kingdom,United Kingdom,London,51.51,-0.08,,city/town
Paris,,Paris,,France,France,Paris,48.86,2.33,,city/town
United States of America,,United States of America,,United States of America,-9999,-9999,39,-100,,country
Columbia University,,Columbia University,,United States of America,New York,New York,40.8,-73.96,"Main campus of Columbia University in New York City, NY, USA",college/university
Delhi,,Delhi,,India,Delhi,Delhi,28.61,77.2,,city/town
Great Britain,,Great Britain,,United Kingdom,-9999,-9999,54,-2,,island
Hungary,,Hungary,,Hungary,-9999,-9999,47,20,,country
