AuthoritativeName,Short Description,Link (Wikipedia),AlternativeNames,ImageLink,,,,,,,,,,,,,,,,,
Abbasid dynasty,A Muslim dynasty of caliphs (750 AD-1258 AD) with Baghdad as its capital for most of its history.,http://en.wikipedia.org/wiki/Abbasid_Caliphate,,,,,,,,,,,,,,,,,,,
absolutism,Term referring to a government with unlimited power vested in one individual or group.,http://en.wikipedia.org/wiki/Absolute_monarchy,,,,,,,,,,,,,,,,,,,
adda,"The adda is an intellectual gathering among members of the Bengali intelligentsia. It started off as a leisurely activity in locations such as coffee houses, and was most popular among young middle class Bengali intellectuals. The concept of the adda has its roots in the city of Calcutta especially during the early 20th century. In modern times the concept has become more fluid.",http://en.wikipedia.org/wiki/Adda_(South_Asian),,,,,,,,,,,,,,,,,,,
American Historical Review,The official publication of the American Historical Association.,http://en.wikipedia.org/wiki/American_Historical_Review,,,,,,,,,,,,,,,,,,,
American Revolution,Series of political events in the late 18th century in which the thirteen British colonies in North America revolted against the British Empire leading to their indepedence.,http://en.wikipedia.org/wiki/American_revolution,,,,,,,,,,,,,,,,,,,
Annales School,"The Annales school is a school of history that is based on the French-language scholarly journal ""Annales d'histoire économique et sociale"".  Its main focus is on the pre-modern world, i.e. the period before the French Revolution. It deals mainly with social themes and an overall macro historical analysis of societies over a long period of time.  It has been the main source of influence in French history as well as European history.",http://en.wikipedia.org/wiki/Annales_School,,,,,,,,,,,,,,,,,,,
Arabic,A semitic language spoken by some 150 million people throughout the Middle East and North Africa.,http://en.wikipedia.org/wiki/Arabic,,,,,,,,,,,,,,,,,,,
army,An organized military force equipped for fighting on land.,http://en.wikipedia.org/wiki/Army,,,,,,,,,,,,,,,,,,,
Babri Masjid Incident,"On December 6th, 1992, a mob of Hindu militants demolished the Babri Masjid (Mosque of Babur) in the historic Indian town of Ayodhya and attacked other Muslim targets in the north. Hindu extremists believe that a Hindu temple should have been built in its place since it is the birthplace of an important Hindu god, Lord Rama. This event lead to the worst inter-community conflict since the partition in 1947.",http://en.wikipedia.org/wiki/Babri_Mosque,,,,,,,,,,,,,,,,,,,
Bahujan Samajwadi,"An Indian political party representing Scheduled Castes, Scheduled Tribes and Other Backward Castes.",http://en.wikipedia.org/wiki/Bahujan_Samajwadi_Party,,,,,,,,,,,,,,,,,,,
Battle of Plassey,Battle in which the British East India Company defeated the Nawab of Bengal in 1757.,http://en.wikipedia.org/wiki/Battle_of_Plassey,,,,,,,,,,,,,,,,,,,
Battle of Pollilur,One of the first battles between Mysore and the British East India Company in the Second Anglo-Mysore War.,http://en.wikipedia.org/wiki/Battle_of_pollilur,,,,,,,,,,,,,,,,,,,
Bengal Renaissance,"This term refers to a cultural movement and a period of social reform. It took place in the region of Bengal during the British Raj in the nineteenth and early twentieth centuries. Bengal during this period was teeming with religious reformers, social reformers, scholars, intellectuals, scientists, literary geniuses, journalists, patriotic orators and freedom fighters. All of these individuals made unique intellectual and creative contributions to this movement.",http://en.wikipedia.org/wiki/Bengal_Renaissance,,,,,,,,,,,,,,,,,,,
Bengali,The Indic language of Bangladesh and West Bengal.,http://en.wikipedia.org/wiki/Bengali_language,,,,,,,,,,,,,,,,,,,
Bhadralok,"Bengali term for the class of wealthy and educated ""gentefolk"" that arose during colonial Bengal.",http://en.wikipedia.org/wiki/Bhadralok,,,,,,,,,,,,,,,,,,,
Body Politic,"The people of a nation, state, or society considered collectively as an organized group of citizens.",http://en.wikipedia.org/wiki/Body_politic,,,,,,,,,,,,,,,,,,,
Brahmin,"A member of the highest Hindu caste, that of the priesthood.",http://en.wikipedia.org/wiki/Brahmin,,,,,,,,,,,,,,,,,,,
British Empire,"A former empire consisting of Great Britain and its possessions, dominions, and dependencies",http://en.wikipedia.org/wiki/British_Empire,,,,,,,,,,,,,,,,,,,
Buddhir Murkhti Andolon,"Term referring to the Freedom of Intellect Movement which was started by the Bengali Muslim intelligentsia in the 1920s and 1930s. It was a rational humanist movement whereby intellectuals who still defined themselves as Muslims critiqued Islam and called for a subordination of its tenets to the principles of socio-economic well-being, individual freedom, and creativity.",http://www.mellenpress.com/mellenpress.cfm?bookid=7125&pc=9,,,,,,,,,,,,,,,,,,,
Calcutta Riots,The Calcutta Riots also known as the Great Calcutta Killings were the most deadly event in the history of the city.  The riots were a prolonged massacre between 1946 and 1947 resulting in thousands of deaths.,http://www.massviolence.org/The-Calcutta-Riots-of-1946,Great Calcutta Killings,,,,,,,,,,,,,,,,,,
Christianity,A monotheistic religion based on the life and teachings of Jesus of Nazareth.,http://en.wikipedia.org/wiki/Christianity,,,,,,,,,,,,,,,,,,,
Christians,"A person who adheres to Christianity, an Abrahamic, monotheistic religion based on the life and teachings of Jesus of Nazareth.",http://en.wikipedia.org/wiki/Christians,,,,,,,,,,,,,,,,,,,
citizen,"A human subject or agent with legally prescribed rights and responsibilities. Citizenship status is granted by states and nations, it is a political privilege rather than a right.",http://en.wikipedia.org/wiki/Citizen_(disambiguation),,,,,,,,,,,,,,,,,,,
Civil Disobedience Movement,A nonviolent movement in India led by Mohandas Karamchand Gandhi in 1930 to resist British rule.,http://en.wikipedia.org/wiki/Civil_Disobedience_Movement,,,,,,,,,,,,,,,,,,,
Civilizing Mission,A rationale for colonization where colonization is held to spread 'civilization' among non-Western peoples.,http://en.wikipedia.org/wiki/Civilizing_mission,,,,,,,,,,,,,,,,,,,
Cold War,"The Cold War, often dated from 1947 to 1991, was a sustained state of political and military tension between powers in the Western Bloc, dominated by the United States with NATO among its allies, and powers in the Eastern Bloc, dominated by the Soviet Union along with the Warsaw Pact.",http://en.wikipedia.org/wiki/Cold_war,,,,,,,,,,,,,,,,,,,
Colonialism,The political control of one country by another.,http://en.wikipedia.org/wiki/Colonialism,,,,,,,,,,,,,,,,,,,
Commonwealth History,The Commonwealth is considered to be a successor of the British Empire. It started to form when many of the colonies began to gain independence. The formal organization of the Commonwealth was developed from the Imperial Conferences where the independence of certain colonies was established.,http://en.wikipedia.org/wiki/Commonwealth_of_Nations,,,,,,,,,,,,,,,,,,,
communism,"Communism is considered to be a branch of socialism. It is a social movement and a policy party, and is associated with nation-states such as the USSR, China and Vietnam. Communism envisions a utopia in which classes are abolished and property is controlled. In its statements, it professes to provide an alternative to the problems of capitalism, imperialism and nationalism.",http://en.wikipedia.org/wiki/Communism,,,,,,,,,,,,,,,,,,,
Communist Party of India (Marxist),"The CPI(M) was formed at the Seventh Congress of the Communist Party of India held in Calcutta from October 31 to November 7, 1964. The CPI(M) was born in the struggle against revisionism and sectarianism in the communist movement at the international and national level, in order to defend the scientific and revolutionary tenets of Marxism-Leninism and its appropriate application in the concrete Indian conditions.",http://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),CPI(M),,,,,,,,,,,,,,,,,,
Cripps Mission,"The Cripps mission was an attempt by the British government to gain the cooperation and support of India for their efforts in World War II. The leader of this mission was Sir Stafford Cripps, a senior left-wing politician and government minister in the War Cabinet of Prime Minister Winston Churchill.",http://en.wikipedia.org/wiki/Cripps%27_mission,,,,,,,,,,,,,,,,,,,
Dalit,"The name referring to the ""untouchable"" caste in Hindu society.",http://en.wikipedia.org/wiki/Dalit,"Untouchables, Scheduled Caste",,,,,,,,,,,,,,,,,,
Dandakaranya Plan,Plan by the Indian government to settle refugees from East Pakistan,http://www.education.nic.in/cd50years/15/8P/84/8P840K02.htm,,,,,,,,,,,,,,,,,,,
decisionism,A doctrine that holds decision making in a political field structured by the binary of friend and foe to be the main feature of politics,http://en.wikipedia.org/wiki/Decisionism,,,,,,,,,,,,,,,,,,,
deconstruction,"Deconstruction is a literary theory, introduced by French philosopher Jacques Derrida, that emphasizes the multiplicity of meanings and interpretations for any given text.",http://en.wikipedia.org/wiki/Deconstruction,,,,,,,,,,,,,,,,,,,
Delhi School,A post-graduate research center housed in the University of Delhi.,http://en.wikipedia.org/wiki/Delhi_School_of_Economics,Delhi School of Economics,,,,,,,,,,,,,,,,,,
Dutch East India Company,"The Dutch East India Company was established in 1602. It was originally constituted as a chartered company, when the States-General of the Netherlands granted it a 21 year monopoly to carry out colonial activities in Asia. It was one of the first megacorporations  that had the power to issue stock and possessed several important government powers.",http://en.wikipedia.org/wiki/Dutch_East_India_Company,,,,,,,,,,,,,,,,,,,
Early Modern,A broad term used to describe Europe between the fifteenth and eighteenth centuries,http://en.wikipedia.org/wiki/Early_modern_period#Renaissance_and_.27Early_modern.27,,,,,,,,,,,,,,,,,,,
East India Companies,"Chartered companies formed in the 17th century by various European states (England, the Netherlands, Denmark, Portugal, France etc). The companies held a monopoly in trade between their respective countries and Asia.",http://en.wikipedia.org/wiki/East_India_Company_(disambiguation),,,,,,,,,,,,,,,,,,,
Economic Mobility,The ability of an individual to improve his or her economic status,http://en.wikipedia.org/wiki/Economic_mobility,,,,,,,,,,,,,,,,,,,
economy,"The resources of a country or region, particular in terms of the production and consumption of good and services.",http://en.wikipedia.org/wiki/Economy,,,,,,,,,,,,,,,,,,,
Eurocentric,"Focusing on European culture or history to the exclusion of a wider view of the world, implicitly regarding European culture as pre-eminent.",http://en.wikipedia.org/wiki/Eurocentric,,,,,,,,,,,,,,,,,,,
First Anglo-Mysore War,The war between the Sultanate of Mysore and the British East India Company from 1767 to 1769.,http://en.wikipedia.org/wiki/First_Anglo-Mysore_War,,,,,,,,,,,,,,,,,,,
fitna,"Arabic word denoting unrest or rebellion, especially against a rightful ruler",http://en.wikipedia.org/wiki/Fitna_(word),,,,,,,,,,,,,,,,,,,
Fortuna,Roman goddess of fortune,http://en.wikipedia.org/wiki/Fortuna,,,,,,,,,,,,,,,,,,,
free trade,Trade without restrictions on imports and exports,http://en.wikipedia.org/wiki/Free_trade,,,,,,,,,,,,,,,,,,,
Gandhian politics,Gandhian Politics is the term given to the political methods and the political resources that Mahatma Gandhi employed to free India from colonial rule.  The two most famous of Gandhi's politics are satyagraha (The Path of Truth) and ahimsa or (Non-violence).,,,,,,,,,,,,,,,,,,,,
geography,"The study of the physical features of the earth and its atmosphere, and of human activity as it interacts with these, including the distribution of populations and resources and political and economic activities.",http://en.wikipedia.org/wiki/Geography,,,,,,,,,,,,,,,,,,,
Globalization,"The processes that increase world-wide exchanges of national and cultural resources. Advances in transportation and telecommunications infrastructure, including the rise of the telegraph and its posterity the Internet, are major factors in globalization, generating further interdependence of economic and cultural activities.",http://en.wikipedia.org/wiki/Globalization,,,,,,,,,,,,,,,,,,,
Gujarat Riots,"The Gujrat Riots were the result of the burning of the Sabarmati Express train at Godhra city in the state of Gujarat. This took place on February 27, 2002 when the train was forcibly attacked by a large Muslim mob. This resulted in the death of many Hindu passengers who were returning from the holy city of Ayodhya.",http://en.wikipedia.org/wiki/2002_Gujarat_violence,,,,,,,,,,,,,,,,,,,
Hadhramauti Yemenis,People from the Hadhramaut region of Yemen,http://en.wikipedia.org/wiki/Hadhramaut,,,,,,,,,,,,,,,,,,,
Hajj,The Muslim pilgrimage to Mecca that all Muslims are expected to make at least once during their lifetime.,http://en.wikipedia.org/wiki/Hajj,,,,,,,,,,,,,,,,,,,
Hakim,Word referring to a physician who uses traditional homeopathic remedies in India,,,,,,,,,,,,,,,,,,,,
Hindu Mahasabha,A Hindu nationalist political party,http://en.wikipedia.org/wiki/Mahasabha,,,,,,,,,,,,,,,,,,,
history of mentality,"Orginally from the French ""histoires des mentalités,"" this term refers to the methods of historiography",http://en.wikipedia.org/wiki/History_of_mentalities,,,,,,,,,,,,,,,,,,,
History Workshop,"A historical research journal established in 1976.  The journal publishes a wide variety of essays, reports and reviews, ranging from literary to economic subjects, local history to geopolitical analyses.",http://en.wikipedia.org/wiki/History_Workshop_Journal,,,,,,,,,,,,,,,,,,,
Holy Roman Empire,The empire set up in western Europe following the coronation of Charlemagne as emperor in 800 AD.,http://en.wikipedia.org/wiki/Holy_Roman_Empire,,,,,,,,,,,,,,,,,,,
Hungarian Revolution,"The Hungarian Revolution took place between October 23 and November 10, 1956 when a student lead demonstration marched through central Budapest to the Parliament Building. This revolt was a protest against the Soviet imposed policies of the People's Republic of Hungary. Many organized themselves into militias fighting the State Security Police and the Soviet troops.",http://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,,,,,,,,,,,,,,,,,,,
Hussain Shahi dynasty,The dynasty that ruled in Bengal from 1494 to 1538.,http://en.wikipedia.org/wiki/Hussain_Shahi_dynasty,,,,,,,,,,,,,,,,,,,
Identity Politics,"Political positions and activism based on an aspect of identity (e.g. ethnicity , religion, gender, or sexual orientation) shared by a group which feels that its concerns are not adequately represented.",http://en.wikipedia.org/wiki/Identity_politics,,,,,,,,,,,,,,,,,,,
Ilyas Shahi dynasty,The dynasty that ruled in Bengal from 1342 to 1487,http://en.wikipedia.org/wiki/Ilyas_Shahi_dynasty,,,,,,,,,,,,,,,,,,,
Imperialism,"Policy of extending a country's power via political, economic, or military force",http://en.wikipedia.org/wiki/Imperialism,Imperial Capitalism,,,,,,,,,,,,,,,,,,
Indian National Congress,"The Indian National Congress (INC) is one of the most prominent political parties in India. This party was founded in 1885 by some of the leading political figures of the time. The INC played a major role in the Indian Independence Movement against British Rule. During the freedom movement the INC had 15 million members and over 70 million participants nation wide. Moreover, even after independence in 1947, it remained the main political party in Indian politics, lead by the Nehru-Gandhi family.",http://en.wikipedia.org/wiki/Indian_National_Congress,,,,,,,,,,,,,,,,,,,
interventionist,"Interventionism is a term for a policy of non-defensive (proactive) activity undertaken by a nation-state, or other geo-political jurisdiction of a lesser or greater nature, to manipulate an economy or society. The most common applications of the term are for economic interventionism (a state's intervention in its own economy), and foreign interventionism (a state's intervention in the affairs of another nation as part of its foreign policy).",http://en.wikipedia.org/wiki/Interventionism_(politics),,,,,,,,,,,,,,,,,,,
Islam,A monotheistic religion revealed by the prophet Muhammad beginning in the 7th century.  Its primary religious text is the Quran.,http://en.wikipedia.org/wiki/Islam,,,,,,,,,,,,,,,,,,,
